learning_rate,kernel_size,num_hidden_layers,input_layer_out_channels,hidden_units,intermediate_activation_fn,interpolation,align_corners,normalize,window_function,coordinate_mapping,filter_extent,radius_search_ignore_query_points,use_dense_layer_for_centers,ray/tune/train_loss,ray/tune/train_loss_step,ray/tune/val_loss,ray/tune/val_loss_epoch,ray/tune/train_loss_epoch,ray/tune/epoch,ray/tune/step,ray/tune/time_this_iter_s,ray/tune/should_checkpoint,ray/tune/done,ray/tune/time_since_restore,ray/tune/iterations_since_restore
0.0005369528748531016,4.0,1.0,64.0,64.0,relu,linear_border,False,True,poly6,ball_to_cube_radial,0.1388220683390072,False,True,0.7627420425415039,0.6839683055877686,0.6737052798271179,0.6737052798271179,0.7627420425415039,1.0,660.0,267.48602294921875,1.0,1.0,552.7758178710938,2.0
0.0011556882039059815,3.0,4.0,64.0,32.0,tanh,linear,False,True,poly6,identity,0.10849891810656709,False,False,0.7569199800491333,0.6345576047897339,0.6764938235282898,0.6764938235282898,0.7569199800491333,1.0,660.0,374.76702880859375,1.0,1.0,769.1080322265625,2.0
0.007933280151560135,8.0,0.0,16.0,128.0,relu,linear,False,True,None,identity,0.15171416819546665,True,,0.7471965551376343,0.4111674726009369,0.7108669877052307,0.7108669877052307,0.7471965551376343,1.0,660.0,107.86529541015625,1.0,1.0,159.47573852539062,2.0
0.002615535006496289,4.0,1.0,32.0,64.0,leaky_relu,nearest_neighbor,True,False,gaussian,ball_to_cube_volume_preserving,0.07663556808980883,False,True,0.7765533328056335,0.6738557815551758,0.7253999710083008,0.7253999710083008,0.7765533328056335,1.0,660.0,245.57431030273438,1.0,1.0,509.8088073730469,2.0
0.00490249976993747,16.0,0.0,64.0,64.0,leaky_relu,nearest_neighbor,False,False,None,ball_to_cube_volume_preserving,0.11322270475409145,True,False,0.8927646279335022,0.9412596225738525,0.8056357502937317,0.8056357502937317,0.8927646279335022,0.0,330.0,8133.6787109375,1.0,1.0,8133.6787109375,1.0
0.0036107953678660982,3.0,1.0,16.0,48.0,relu,linear_border,True,True,poly6,identity,0.08717660019339153,True,True,0.890315592288971,0.9396437406539917,0.8386881947517395,0.8386881947517395,0.890315592288971,0.0,330.0,223.4190216064453,1.0,1.0,223.4190216064453,1.0
0.0002311567289884184,4.0,4.0,64.0,64.0,GeLU,linear,False,True,None,ball_to_cube_radial,0.3254764081906778,False,,0.9157480001449585,0.8461421132087708,0.8619832396507263,0.8619832396507263,0.9157480001449585,0.0,330.0,165.4490509033203,1.0,1.0,165.4490509033203,1.0
0.0036550892343351626,4.0,1.0,8.0,32.0,tanh,nearest_neighbor,False,True,None,identity,0.2304765572896104,True,False,0.9131609201431274,0.7999749183654785,0.8703534007072449,0.8703534007072449,0.9131609201431274,0.0,330.0,262.5662841796875,1.0,1.0,262.5662841796875,1.0
0.00021702847165612737,8.0,1.0,64.0,48.0,GeLU,nearest_neighbor,True,False,gaussian,identity,0.0938033062798732,False,True,0.9530941247940063,0.927232027053833,0.9019795656204224,0.9019795656204224,0.9530941247940063,0.0,330.0,685.7252197265625,1.0,1.0,685.7252197265625,1.0
0.0006328230874962317,3.0,2.0,64.0,256.0,relu,linear,True,False,poly6,identity,0.26276513023765974,False,,1.5343680381774902,0.9228183031082153,0.9085923433303833,0.9085923433303833,1.5343680381774902,0.0,330.0,192.28062438964844,1.0,1.0,192.28062438964844,1.0
0.0038403335140201264,16.0,1.0,8.0,48.0,GeLU,linear_border,True,False,poly6,identity,0.08892716257458683,False,True,0.956250011920929,0.9608519673347473,0.9124155044555664,0.9124155044555664,0.956250011920929,0.0,330.0,2510.0380859375,1.0,1.0,2510.0380859375,1.0
0.00017445163966772886,4.0,2.0,64.0,64.0,relu,nearest_neighbor,False,True,poly6,ball_to_cube_volume_preserving,0.10642110818914527,False,False,0.9581775069236755,0.9624656438827515,0.9205629825592041,0.9205629825592041,0.9581775069236755,0.0,330.0,333.165283203125,1.0,1.0,333.165283203125,1.0
0.003963455898175804,16.0,3.0,8.0,64.0,GeLU,nearest_neighbor,False,False,None,ball_to_cube_volume_preserving,0.14058883604572064,False,False,8.543171882629395,1.0535048246383667,0.9354971647262573,0.9354971647262573,8.543171882629395,0.0,330.0,10341.900390625,1.0,1.0,10341.900390625,1.0
0.002610185920323052,16.0,3.0,8.0,64.0,leaky_relu,linear,False,False,gaussian,ball_to_cube_volume_preserving,0.2387800975464701,False,True,1.3017256259918213,0.884697437286377,0.9366219639778137,0.9366219639778137,1.3017256259918213,0.0,330.0,10486.5615234375,1.0,1.0,10486.5615234375,1.0
0.0011668314753922084,3.0,0.0,4.0,64.0,relu,linear,False,False,poly6,ball_to_cube_volume_preserving,0.18738853718779033,True,,0.9788167476654053,0.957766056060791,0.9380567073822021,0.9380567073822021,0.9788167476654053,0.0,330.0,34.74233627319336,1.0,1.0,34.74233627319336,1.0
0.00021111864151897224,4.0,2.0,4.0,256.0,GeLU,linear,False,True,None,identity,0.1372375029938616,False,,0.9677491188049316,0.9589796662330627,0.941224217414856,0.941224217414856,0.9677491188049316,0.0,330.0,169.7197265625,1.0,1.0,169.7197265625,1.0
0.0007941472403969798,8.0,0.0,8.0,32.0,GeLU,linear,True,True,poly6,ball_to_cube_radial,0.11140123839018666,True,,0.9700497984886169,0.9701224565505981,0.9414558410644531,0.9414558410644531,0.9700497984886169,0.0,330.0,44.61802291870117,1.0,1.0,44.61802291870117,1.0
0.0008997509325562523,8.0,0.0,8.0,64.0,leaky_relu,linear_border,True,True,poly6,ball_to_cube_radial,0.08589080224282461,True,True,0.9783040285110474,0.9787510633468628,0.951740562915802,0.951740562915802,0.9783040285110474,0.0,330.0,44.079654693603516,1.0,1.0,44.079654693603516,1.0
0.00019482808327481494,16.0,0.0,16.0,32.0,tanh,linear,True,True,poly6,ball_to_cube_radial,0.08783094290791355,False,True,1.0024189949035645,0.9880263805389404,0.9778998494148254,0.9778998494148254,1.0024189949035645,0.0,330.0,815.36279296875,1.0,1.0,815.36279296875,1.0
0.00010806715909455537,16.0,1.0,8.0,32.0,relu,linear_border,False,True,gaussian,ball_to_cube_volume_preserving,0.10180894652074973,True,True,0.9950098991394043,0.9899113178253174,0.9803254008293152,0.9803254008293152,0.9950098991394043,0.0,330.0,680.798828125,1.0,1.0,680.798828125,1.0
0.0001100776507463539,4.0,0.0,16.0,32.0,leaky_relu,linear_border,True,True,gaussian,ball_to_cube_radial,0.19889030998879317,False,True,0.9988837838172913,0.993074357509613,0.9882200956344604,0.9882200956344604,0.9988837838172913,0.0,330.0,192.27603149414062,1.0,1.0,192.27603149414062,1.0
